EEG_Fp1,EEG_Fp2
-0.000174,-0.000185
-0.000175,-0.000173
-0.000158,-0.00016
-0.000159,-0.000154
-0.000153,-0.000151
-0.000155,-0.000159
-0.000166,-0.000174
-0.000169,-0.000168
-0.000169,-0.000164
-0.000184,-0.000173
-0.00016,-0.000152
-0.000156,-0.000152
-0.000156,-0.000172
-0.00016,-0.000171
-0.00015,-0.00016
-0.000151,-0.000154
-0.00016,-0.00016
-0.00015,-0.000155
-0.000167,-0.000171
-0.000186,-0.000192
-0.000171,-0.000172
-0.00015,-0.00014
-0.000142,-0.000141
-0.000148,-0.000146
-0.000149,-0.000141
-0.00015,-0.000153
-0.000164,-0.000156
-0.000166,-0.00016
-0.000144,-0.000137
-0.000162,-0.00016
-0.000161,-0.00016
-0.000175,-0.000174
-0.000154,-0.000154
-0.000148,-0.000144
-0.000143,-0.000142
-0.000144,-0.000132
-0.000156,-0.00014
-0.00015,-0.000142
-0.000155,-0.000155
-0.000148,-0.000149
-0.000154,-0.000152
-0.000154,-0.000151
-0.000155,-0.000158
-0.000152,-0.000149
-0.000175,-0.000167
-0.000159,-0.000151
-0.000151,-0.000147
-0.00016,-0.000154
-0.000167,-0.00016
-0.000172,-0.000166
-0.000162,-0.00016
-0.000152,-0.000152
-0.000155,-0.000158
-0.000162,-0.000159
-0.000143,-0.000128
-0.000153,-0.000144
-0.000146,-0.000139
-0.000135,-0.000131
-0.000122,-0.000115
-0.000156,-0.000147
-0.000152,-0.000138
-0.000157,-0.00015
-0.00015,-0.000143
-0.000147,-0.00014
-0.000166,-0.00016
-0.000126,-0.000121
-0.000131,-0.000118
-0.000129,-0.000114
-0.00014,-0.000127
-0.000138,-0.000133
-0.00015,-0.000151
-0.000173,-0.00017
-0.000152,-0.000139
-0.000138,-0.000119
-0.00014,-0.000119
-0.000133,-0.000111
-0.000121,-0.000112
-0.000125,-0.000111
-0.000133,-0.000111
-0.00014,-0.000116
-0.000156,-0.000137
-0.000155,-0.000149
-0.000129,-0.000111
-0.000127,-0.00011
-0.000139,-0.000116
-0.000133,-0.000112
-0.000136,-0.000114
-0.000139,-0.000122
-0.000135,-0.000118
-0.000125,-0.000116
-0.000116,-0.000117
-0.000112,-0.000105
-0.000125,-0.000114
-0.00011,-0.000101
-0.000118,-0.000103
-0.000127,-0.000107
-0.000131,-0.000125
-0.000119,-0.00011
-0.000122,-0.000106
-0.000106,-0.0001
-0.000101,-0.000106
-0.000102,-9e-05
-9.4e-05,-8.2e-05
-7.9e-05,-6.5e-05
-7e-05,-5.9e-05
-9.4e-05,-8.3e-05
-9.8e-05,-8.7e-05
-7.2e-05,-6.5e-05
-7.9e-05,-7.5e-05
-8.6e-05,-8.1e-05
-8.1e-05,-8.4e-05
-7.7e-05,-7.9e-05
-7.7e-05,-6.5e-05
-8.2e-05,-6.5e-05
-7.6e-05,-6.5e-05
-9.5e-05,-8.8e-05
-8.1e-05,-7e-05
-8.2e-05,-7.2e-05
-8.8e-05,-8e-05
-9.1e-05,-7.5e-05
-9.3e-05,-8.6e-05
-8e-05,-8.8e-05
-8.2e-05,-9.5e-05
-9.5e-05,-9.5e-05
-8.7e-05,-7.4e-05
-8.8e-05,-6.9e-05
-8.2e-05,-8e-05
-7.9e-05,-7.8e-05
-7.1e-05,-7.5e-05
-6.9e-05,-7.1e-05
-7.2e-05,-7.1e-05
-7.3e-05,-6.8e-05
-6.8e-05,-6.5e-05
-6.5e-05,-6.6e-05
-6e-05,-6.2e-05
-5.1e-05,-5.7e-05
-5.3e-05,-5.1e-05
-5e-05,-4.2e-05
-4.9e-05,-4.4e-05
-4.5e-05,-5.4e-05
-3.8e-05,-4.1e-05
-5.1e-05,-5.2e-05
-4.8e-05,-4.8e-05
-6.5e-05,-6.8e-05
-4.7e-05,-4.5e-05
-5e-05,-5.8e-05
-2.9e-05,-3.5e-05
-4.9e-05,-4.6e-05
-6.3e-05,-6.5e-05
-5e-05,-5.2e-05
-5.2e-05,-5.3e-05
-4.9e-05,-5e-05
-4.6e-05,-4.2e-05
-4.9e-05,-4.4e-05
-4.8e-05,-4.2e-05
-5.5e-05,-5e-05
-5.4e-05,-5.5e-05
-4.9e-05,-5.1e-05
-4.5e-05,-4.9e-05
-3.6e-05,-3.5e-05
-3.5e-05,-4e-05
-3.3e-05,-3.7e-05
-4.3e-05,-4.1e-05
-3.8e-05,-3.2e-05
-3.1e-05,-2.2e-05
-3.1e-05,-2.5e-05
-3.8e-05,-3.7e-05
-4.3e-05,-4.2e-05
-2.5e-05,-2.4e-05
-3.9e-05,-3.3e-05
-4.4e-05,-4.1e-05
-4.5e-05,-4.3e-05
-5.8e-05,-5.8e-05
-6.2e-05,-6e-05
-6e-05,-5e-05
-5.6e-05,-4.9e-05
-5.3e-05,-4.5e-05
-5.1e-05,-4.4e-05
-5.5e-05,-5.5e-05
-5.9e-05,-6.2e-05
-5.9e-05,-6.2e-05
-5.8e-05,-6.3e-05
-5.6e-05,-6.5e-05
-6.3e-05,-7.3e-05
-6.4e-05,-8e-05
-7.1e-05,-8.2e-05
-5.2e-05,-6e-05
-5.6e-05,-5.9e-05
-6.1e-05,-6.3e-05
-6.7e-05,-7.7e-05
-6.3e-05,-7.6e-05
-6.5e-05,-6.5e-05
-7.7e-05,-7.5e-05
-6.8e-05,-6.6e-05
-6.9e-05,-6.6e-05
-6.8e-05,-7.5e-05
-8e-05,-8.6e-05
-7.9e-05,-8.4e-05
-7.2e-05,-7.4e-05
-7e-05,-7.6e-05
-5.8e-05,-6.8e-05
-6e-05,-6.7e-05
-5.6e-05,-6.5e-05
-5.3e-05,-6.5e-05
-4.9e-05,-5.9e-05
-4.7e-05,-5.5e-05
-5e-05,-5.5e-05
-5.4e-05,-6e-05
-5.5e-05,-6.5e-05
-4.8e-05,-5.1e-05
-4.2e-05,-4.6e-05
-5.5e-05,-6.8e-05
-3.2e-05,-4.2e-05
-4.2e-05,-4.8e-05
-3.1e-05,-3.8e-05
-3.1e-05,-3.6e-05
-4.7e-05,-4.1e-05
-3e-05,-4.2e-05
-5e-05,-6.8e-05
-4.8e-05,-6.2e-05
-5.1e-05,-5.8e-05
-2.7e-05,-3.6e-05
-3.5e-05,-4.1e-05
-3e-05,-3.8e-05
-2.8e-05,-2.9e-05
-2.2e-05,-2.1e-05
-2.8e-05,-3.7e-05
-1.8e-05,-3.3e-05
-4.2e-05,-5.3e-05
-3.5e-05,-3.8e-05
-3.3e-05,-3.8e-05
-2.4e-05,-4e-05
-2.1e-05,-4.2e-05
-3e-05,-4.6e-05
-2.4e-05,-3.9e-05
-2.2e-05,-3.7e-05
-2.4e-05,-4.2e-05
-1.8e-05,-3.4e-05
-2.9e-05,-3.4e-05
-2.3e-05,-3.3e-05
-1.8e-05,-3.5e-05
-3.1e-05,-4.8e-05
-2.2e-05,-3.7e-05
-2.8e-05,-3.7e-05
-2.9e-05,-3.6e-05
-2.7e-05,-3.2e-05
-3e-05,-3.4e-05
-2.9e-05,-4.3e-05
-3.3e-05,-5e-05
-3.3e-05,-3.9e-05
-4.1e-05,-3.8e-05
-2.1e-05,-2.1e-05
-3e-05,-3.4e-05
-2.6e-05,-4.2e-05
-2.6e-05,-3.8e-05
-3e-05,-4.1e-05
-2.3e-05,-3.9e-05
-1.7e-05,-3.6e-05
-3.1e-05,-4.8e-05
-2.8e-05,-3.9e-05
-3.1e-05,-3e-05
-2.6e-05,-2.7e-05
-1.5e-05,-2.5e-05
-1.2e-05,-2.5e-05
-1.6e-05,-3e-05
-1.5e-05,-2.8e-05
-1.1e-05,-2.3e-05
-2.1e-05,-2.4e-05
-1.3e-05,-1.4e-05
-6e-06,-1.8e-05
-1e-06,-1.7e-05
-2e-06,-4e-06
-4e-06,-1.4e-05
-2.1e-05,-2.6e-05
0.0,-3e-06
-1.3e-05,-1.7e-05
-1.4e-05,-2e-05
-2e-06,-8e-06
-1.7e-05,-2.1e-05
-1e-05,-1.3e-05
-1e-06,-7e-06
-1.3e-05,-1.4e-05
-2e-06,-1.1e-05
0.0,-1.8e-05
4e-06,-4e-06
6e-06,-5e-06
1e-06,-5e-06
-4e-06,-8e-06
-1e-06,-1.4e-05
0.0,-9e-06
1e-05,7e-06
-3e-06,-4e-06
0.0,-3e-06
1e-05,4e-06
1.7e-05,7e-06
1.1e-05,1e-06
0.0,-1.2e-05
6.7e-05,9.3e-05
6e-05,8.3e-05
5.5e-05,7.3e-05
6e-05,7.6e-05
6.8e-05,8e-05
5e-05,6.1e-05
3.6e-05,4.4e-05
3.2e-05,3.4e-05
2.5e-05,2.3e-05
8e-06,6e-06
0.0,3e-06
1e-06,1.1e-05
-9e-06,-0.0
-9e-06,-9e-06
-1.5e-05,-1.3e-05
-1.8e-05,-1.7e-05
-3e-05,-3e-05
-3.2e-05,-3.7e-05
-3.7e-05,-3.9e-05
-3.9e-05,-4.3e-05
-4.2e-05,-5.4e-05
-3.1e-05,-4.4e-05
-7.3e-05,-7.5e-05
-7.6e-05,-7.1e-05
-8.7e-05,-8.7e-05
-9.3e-05,-9.6e-05
-6.4e-05,-7.6e-05
-8.8e-05,-9.9e-05
-9.7e-05,-0.000106
-9.3e-05,-9.8e-05
-0.000129,-0.000132
-0.000114,-0.00012
-0.000104,-0.00011
-0.000115,-0.000121
-0.000117,-0.000122
-0.000118,-0.000124
-0.00011,-0.000123
-0.000115,-0.000123
-0.000128,-0.000131
-0.000128,-0.000125
-0.000116,-0.000124
-0.000126,-0.000141
-0.000133,-0.000143
-0.000123,-0.000126
-0.000152,-0.000155
-0.000133,-0.000129
-0.000146,-0.000139
-0.000157,-0.000151
-0.000148,-0.000141
-0.000142,-0.000134
-0.000141,-0.000132
-0.000135,-0.000129
-0.000154,-0.000148
-0.000151,-0.000143
-0.000157,-0.000153
-0.000167,-0.000162
-0.000161,-0.000151
-0.000167,-0.00015
-0.00016,-0.000145
-0.00014,-0.000132
-0.000177,-0.000161
-0.000167,-0.000156
-0.000146,-0.000134
-0.000133,-0.000123
-0.000131,-0.000127
-0.000149,-0.000142
-0.000149,-0.00014
-0.000133,-0.000127
-0.000138,-0.000127
-0.000153,-0.000143
-0.000146,-0.000135
-0.000151,-0.000141
-0.000144,-0.000134
-0.000147,-0.000137
-0.00014,-0.00013
-0.000143,-0.000135
-0.000141,-0.000135
-0.00015,-0.000134
-0.000137,-0.000124
-0.000139,-0.000124
-0.000139,-0.000121
-0.000116,-9.7e-05
-0.000104,-8.8e-05
-0.000116,-9.5e-05
-9.2e-05,-6.9e-05
-8e-05,-7.1e-05
-7.2e-05,-5.9e-05
-6.2e-05,-4.4e-05
-3.4e-05,-2.5e-05
-2.9e-05,-1.5e-05
-1.5e-05,-5e-06
-1.1e-05,2e-06
-1.1e-05,1.3e-05
-2e-06,2.5e-05
1.2e-05,3.8e-05
1.7e-05,3.9e-05
1.7e-05,4.1e-05
3.2e-05,5.4e-05
5.1e-05,7.2e-05
4.1e-05,6.3e-05
3.8e-05,5.9e-05
5.2e-05,5.5e-05
3.2e-05,4.1e-05
3.2e-05,4.9e-05
2.8e-05,4.3e-05
3.7e-05,5e-05
3e-05,4.4e-05
2.3e-05,4.2e-05
2.4e-05,3.4e-05
2.1e-05,3e-05
1.6e-05,2.4e-05
1.9e-05,2.4e-05
1.5e-05,1.7e-05
-4e-06,-9e-06
-5e-06,-4e-06
-4e-06,9e-06
6e-06,1.6e-05
-2.2e-05,-8e-06
-3.9e-05,-3.6e-05
-4.2e-05,-4.3e-05
-4.1e-05,-4.2e-05
-5.3e-05,-4.6e-05
-5.6e-05,-5.1e-05
-5.6e-05,-4.9e-05
-6.8e-05,-5.6e-05
-6.8e-05,-6.3e-05
-7.9e-05,-8e-05
-7e-05,-7.5e-05
-8e-05,-8.1e-05
-8.3e-05,-7.9e-05
-9.6e-05,-9.7e-05
-8e-05,-8.7e-05
-8e-05,-8.2e-05
-8.9e-05,-9.3e-05
-8.3e-05,-9.3e-05
-8.8e-05,-9.7e-05
-9.8e-05,-0.000108
-9.7e-05,-0.000114
-0.000107,-0.000116
-0.0001,-0.00011
-9.4e-05,-0.000107
-9.7e-05,-0.000111
-0.000106,-0.000117
-0.000114,-0.000123
-0.000108,-0.000117
-0.000105,-0.000119
-9.4e-05,-0.000106
-0.0001,-0.000118
-0.0001,-0.000118
-0.000104,-0.000115
-0.0001,-0.000113
-0.0001,-0.000117
-0.000104,-0.00012
-0.00011,-0.000124
-0.000103,-0.000108
-0.000112,-0.000117
-0.000105,-0.000112
-0.000122,-0.000125
-0.000119,-0.000124
-0.00011,-0.000116
-0.000109,-0.000114
-0.000105,-0.000113
-0.00011,-0.00012
-0.000106,-0.00011
-0.000105,-0.000108
-0.000101,-0.000101
-0.000106,-0.000109
-0.000103,-0.000111
-9.6e-05,-0.000101
-9.1e-05,-0.000103
-9.3e-05,-0.000103
-0.0001,-0.000105
-9.7e-05,-0.000108
-9.3e-05,-0.000105
-8e-05,-9.1e-05
-7.9e-05,-9.2e-05
-9.3e-05,-0.000101
-9.3e-05,-0.000103
-9.3e-05,-0.000102
-8.5e-05,-9.7e-05
-8.5e-05,-9.3e-05
-7.3e-05,-8.4e-05
-8.1e-05,-9.4e-05
-7.7e-05,-8.8e-05
-7.7e-05,-8.4e-05
-6.4e-05,-7.4e-05
-6.9e-05,-7.7e-05
-7.5e-05,-8.5e-05
-7.1e-05,-8e-05
-6.8e-05,-7.5e-05
-7.3e-05,-7.8e-05
-5.9e-05,-6.8e-05
-7e-05,-7.8e-05
-5.9e-05,-7.1e-05
-5.8e-05,-7.4e-05
-5.9e-05,-7.8e-05
-6.8e-05,-8.4e-05
-6.7e-05,-8e-05
-5.8e-05,-6.7e-05
-5.1e-05,-5.8e-05
-5.2e-05,-5.7e-05
-3.4e-05,-4.2e-05
-5.5e-05,-6.3e-05
-5.5e-05,-6.4e-05
-5.6e-05,-6.7e-05
-5.3e-05,-6.2e-05
-6.1e-05,-7.2e-05
-6.3e-05,-6.6e-05
-4.9e-05,-5.6e-05
-5e-05,-5.9e-05
-5e-05,-5.9e-05
-4.5e-05,-5.7e-05
-4.2e-05,-5.4e-05
-3.1e-05,-4.6e-05
-3e-05,-4.4e-05
-3.3e-05,-4.8e-05
-2.6e-05,-4e-05
-3.3e-05,-5.1e-05
-3.7e-05,-4.6e-05
-3.6e-05,-3.9e-05
-4e-05,-4.7e-05
-3.8e-05,-5.2e-05
-3.6e-05,-4.9e-05
-3.6e-05,-5.2e-05
-3.4e-05,-4.2e-05
-2.6e-05,-3.8e-05
-1.9e-05,-3e-05
-2e-05,-2.8e-05
-2.3e-05,-3.9e-05
-1.8e-05,-3.8e-05
-2.1e-05,-4.2e-05
-2.5e-05,-4.2e-05
-2.9e-05,-4.5e-05
-1.9e-05,-3.4e-05
-2.1e-05,-3.7e-05
-2.5e-05,-4.2e-05
-2.3e-05,-4e-05
-2e-05,-4.2e-05
-2.1e-05,-3.8e-05
-2.6e-05,-3.8e-05
-2.4e-05,-4.2e-05
-1.8e-05,-3.8e-05
-2e-06,-2e-05
-2.2e-05,-4e-05
-1.6e-05,-3.6e-05
-1.7e-05,-3.4e-05
-1.1e-05,-2.6e-05
-1.3e-05,-3.4e-05
-1.5e-05,-3.6e-05
-1.6e-05,-3.8e-05
-1.9e-05,-4.3e-05
-1.8e-05,-3.4e-05
-1.3e-05,-2.5e-05
-1.7e-05,-2.7e-05
-1.3e-05,-2.8e-05
-1.3e-05,-3.1e-05
-1.6e-05,-3.4e-05
-1.5e-05,-3.2e-05
-1.7e-05,-2.9e-05
-1.9e-05,-3e-05
-9e-06,-2.5e-05
-2.1e-05,-3.9e-05
-1.3e-05,-3.1e-05
-8e-06,-2.5e-05
-1.6e-05,-3.4e-05
-1.9e-05,-3.6e-05
-1.3e-05,-2.3e-05
-1.7e-05,-2.1e-05
-9e-06,-1.7e-05
-1.1e-05,-2.2e-05
-7e-06,-2.1e-05
-4e-06,-1.6e-05
-8e-06,-1.3e-05
-1.7e-05,-2.2e-05
-1.3e-05,-2.1e-05
-1.6e-05,-2.9e-05
-1.3e-05,-2.6e-05
-3e-06,-2e-05
5e-06,-9e-06
2.4e-05,5e-06
1.6e-05,-5e-06
2e-06,-1.1e-05
-3e-06,-1.1e-05
-5e-06,-1.3e-05
1e-06,-1.4e-05
4e-06,-1.5e-05
8e-06,-1e-05
1e-06,-1.9e-05
8e-06,-1.1e-05
1.2e-05,-0.0
1.5e-05,1e-06
1.5e-05,-3e-06
8e-06,-4e-06
1.3e-05,8e-06
1e-05,4e-06
1e-06,3e-06
2e-06,3e-06
-2e-06,-8e-06
1.6e-05,5e-06
2.3e-05,1e-05
2.9e-05,2.3e-05
1.3e-05,7e-06
1e-05,8e-06
-7e-06,-7e-06
0.0,0.0
1.3e-05,1.1e-05
2.2e-05,2.1e-05
1.9e-05,2.3e-05
2.4e-05,2.2e-05
2e-05,2e-05
3.6e-05,3.2e-05
3.1e-05,3e-05
2.3e-05,3.1e-05
1.7e-05,2.5e-05
2.4e-05,2.6e-05
3.5e-05,3.5e-05
3.4e-05,3.4e-05
3e-05,3e-05
2.9e-05,3.6e-05
3.9e-05,4.4e-05
4.4e-05,4.4e-05
3.9e-05,4.5e-05
2.5e-05,3.9e-05
2.1e-05,3.4e-05
3.7e-05,4.2e-05
2.5e-05,3.3e-05
3.9e-05,4.4e-05
4.7e-05,4.9e-05
3.3e-05,3.9e-05
3e-05,3.9e-05
5.1e-05,5.7e-05
6.3e-05,7.5e-05
5.7e-05,6.8e-05
5.5e-05,6.8e-05
8.8e-05,9.2e-05
8.4e-05,8.1e-05
7.5e-05,7.3e-05
9.2e-05,0.000104
0.000106,0.000107
0.000129,0.00013
0.000136,0.000144
0.000141,0.000148
0.000124,0.000133
0.000143,0.000152
0.000143,0.000159
0.000138,0.000143
0.000141,0.000147
0.00014,0.000147
0.000139,0.000145
0.000145,0.000157
0.00014,0.000151
0.000121,0.000129
0.000118,0.000119
0.000102,0.000101
9.1e-05,9.9e-05
7.8e-05,8.8e-05
8.5e-05,9.2e-05
8.5e-05,8.9e-05
7.6e-05,7e-05
7.1e-05,6.1e-05
4.8e-05,3.9e-05
4.4e-05,4.4e-05
3.4e-05,3.6e-05
3.2e-05,3.2e-05
2.6e-05,2.1e-05
9e-06,5e-06
1.3e-05,9e-06
1e-06,0.0
-4e-06,-8e-06
-2e-06,-6e-06
-2.4e-05,-3e-05
-3e-05,-2.9e-05
-1.4e-05,-2.7e-05
-2e-06,-2.2e-05
-1.3e-05,-3.4e-05
-1.5e-05,-2.2e-05
-1.7e-05,-1.9e-05
-2.2e-05,-2.9e-05
-1.6e-05,-2.2e-05
-3.4e-05,-3.8e-05
-5.3e-05,-5.5e-05
-4.5e-05,-5e-05
-5.1e-05,-5.9e-05
-3.8e-05,-5.3e-05
-4.2e-05,-4.6e-05
-5.7e-05,-6.4e-05
-6.7e-05,-7.2e-05
-6.5e-05,-7.2e-05
-4.6e-05,-5.8e-05
-5.6e-05,-6.7e-05
-5e-05,-5.5e-05
-5.8e-05,-6.3e-05
-4.9e-05,-5.6e-05
-4.4e-05,-5.6e-05
-6.1e-05,-6.7e-05
-4.6e-05,-5.7e-05
-6.1e-05,-7.2e-05
-6e-05,-6.8e-05
-5.7e-05,-6.9e-05
-5.3e-05,-6.3e-05
-5.9e-05,-6.6e-05
-6.9e-05,-7.1e-05
-6.6e-05,-6.4e-05
-5.5e-05,-6.6e-05
-5.5e-05,-7.2e-05
-6e-05,-6.7e-05
-6.5e-05,-7.3e-05
-7.1e-05,-8.6e-05
-7.6e-05,-8.7e-05
-7.9e-05,-8.5e-05
-5.9e-05,-6.9e-05
-4.8e-05,-6e-05
-6.8e-05,-7.8e-05
-7e-05,-7.3e-05
-7.4e-05,-8.3e-05
-8.2e-05,-9.2e-05
-7.5e-05,-8.5e-05
-5.8e-05,-6.2e-05
-6.3e-05,-7.1e-05
-6.9e-05,-7.9e-05
-6.8e-05,-7.3e-05
-6.3e-05,-7.8e-05
-6.8e-05,-9.4e-05
-7.2e-05,-8.9e-05
-7.2e-05,-8.2e-05
-7.6e-05,-8.8e-05
-7.8e-05,-9.1e-05
-5.7e-05,-7.7e-05
-6.7e-05,-7.9e-05
-6.8e-05,-7.2e-05
-7.1e-05,-8.4e-05
-6.2e-05,-7.6e-05
-5.7e-05,-7.2e-05
-7e-05,-7.6e-05
-7.7e-05,-7.9e-05
-8.2e-05,-8.8e-05
-7.5e-05,-8.1e-05
-6.8e-05,-7.4e-05
-6.2e-05,-7.2e-05
-6.5e-05,-7.6e-05
-5.9e-05,-7.6e-05
-7.4e-05,-9.3e-05
-7.7e-05,-9.1e-05
-7.8e-05,-8.4e-05
-6.9e-05,-7.9e-05
-7.1e-05,-8.3e-05
-6.5e-05,-7.3e-05
-5.7e-05,-6.7e-05
-5.1e-05,-5.7e-05
-3.7e-05,-4.8e-05
-4.1e-05,-5.3e-05
-3.8e-05,-5.6e-05
-4.6e-05,-6.2e-05
-6e-05,-7.5e-05
-5e-05,-6e-05
-5.8e-05,-6.6e-05
-4.6e-05,-6e-05
-4.3e-05,-6.6e-05
-4.5e-05,-5.9e-05
-5.5e-05,-6.8e-05
-5.7e-05,-6.7e-05
-4.9e-05,-6.1e-05
-5.1e-05,-6.4e-05
-4.6e-05,-6e-05
-5.6e-05,-7.1e-05
-6.1e-05,-6.8e-05
-6.7e-05,-7.2e-05
-5.9e-05,-7e-05
-4.6e-05,-6.1e-05
-4.4e-05,-6.1e-05
-5.6e-05,-7.4e-05
-6.3e-05,-7e-05
-4.8e-05,-6.3e-05
-4.9e-05,-6.5e-05
-5e-05,-6.6e-05
-4.5e-05,-6.8e-05
-4.3e-05,-6.4e-05
-5.2e-05,-6.6e-05
-5.5e-05,-6.8e-05
-5.1e-05,-6.3e-05
-4.7e-05,-6e-05
-5.4e-05,-6.3e-05
-5.3e-05,-5.9e-05
-7e-05,-7.1e-05
-7.2e-05,-7.9e-05
-5.6e-05,-7e-05
-5.5e-05,-7.2e-05
-5.5e-05,-6.5e-05
-5.1e-05,-5.6e-05
-5.1e-05,-5.5e-05
-5e-05,-5.6e-05
-4.9e-05,-5.6e-05
-4.5e-05,-5.2e-05
-4.6e-05,-5.8e-05
-4.6e-05,-6.4e-05
-4.7e-05,-6.1e-05
-3.6e-05,-4.4e-05
-3.3e-05,-4.6e-05
-3.2e-05,-4.6e-05
-2.6e-05,-3.9e-05
-2.5e-05,-4e-05
-3.2e-05,-4.6e-05
-3.1e-05,-4.2e-05
-2.6e-05,-3.6e-05
-2.2e-05,-3.3e-05
-3.2e-05,-3.9e-05
-3.7e-05,-4.4e-05
-4e-05,-5.1e-05
-2.6e-05,-3.7e-05
-3.9e-05,-4.2e-05
-3.2e-05,-3.9e-05
-2.9e-05,-3.9e-05
-2.8e-05,-3.5e-05
-3.6e-05,-4.2e-05
-3.3e-05,-3.9e-05
-3.5e-05,-4.4e-05
-2.8e-05,-4.1e-05
-3.8e-05,-5.2e-05
-3.8e-05,-5.2e-05
-3.7e-05,-4.9e-05
-3.1e-05,-3.7e-05
-3.2e-05,-4.1e-05
-2.6e-05,-3.2e-05
-2.9e-05,-3.5e-05
-3.3e-05,-3.8e-05
-3.5e-05,-3.9e-05
-3.5e-05,-3.5e-05
-3.5e-05,-4.5e-05
-2.7e-05,-3.9e-05
-2.4e-05,-3.8e-05
-2.8e-05,-4.4e-05
-2.8e-05,-3.8e-05
-1.7e-05,-2.3e-05
-2.3e-05,-2.2e-05
-2.5e-05,-2.7e-05
-2.9e-05,-3.6e-05
-2.3e-05,-2.8e-05
-3e-05,-3.7e-05
-2.1e-05,-3.3e-05
-2.5e-05,-3.4e-05
-2.8e-05,-4.4e-05
-2e-05,-3.2e-05
-2e-05,-2.5e-05
-2.3e-05,-2.5e-05
-2.3e-05,-2.5e-05
-2.1e-05,-2.6e-05
-1.5e-05,-2.3e-05
-1.6e-05,-3.4e-05
-1.8e-05,-3.4e-05
-2.4e-05,-3.1e-05
-2.9e-05,-2.9e-05
-2e-05,-2.5e-05
-2.2e-05,-3.3e-05
-1.7e-05,-2.8e-05
-1.7e-05,-2.2e-05
-2.6e-05,-2.6e-05
-2.6e-05,-2.6e-05
-3.4e-05,-3e-05
-2.5e-05,-2.3e-05
-2.3e-05,-2.1e-05
-2.5e-05,-2.1e-05
-3.1e-05,-2.7e-05
-2.5e-05,-2.5e-05
-2.7e-05,-2.7e-05
-2.8e-05,-2.6e-05
-2.7e-05,-3e-05
-3e-05,-3.3e-05
-3.2e-05,-3.1e-05
-2.5e-05,-1.8e-05
-2.6e-05,-2.2e-05
-3.6e-05,-3e-05
-3.4e-05,-3.5e-05
-2.8e-05,-2.9e-05
-2.9e-05,-2.5e-05
-2.8e-05,-2.5e-05
-2.5e-05,-2.8e-05
-2.8e-05,-3.3e-05
-1.9e-05,-3.1e-05
-1.3e-05,-2.3e-05
-1.7e-05,-1.6e-05
-2.2e-05,-1.3e-05
-1.8e-05,-1.3e-05
-1.7e-05,-1.6e-05
-1.5e-05,-1.7e-05
-1.3e-05,-1.8e-05
-2.5e-05,-2.6e-05
-2.5e-05,-2.9e-05
-2.4e-05,-3.4e-05
-2.6e-05,-3.4e-05
-2.1e-05,-2.2e-05
-2e-05,-2.1e-05
-2.6e-05,-2.3e-05
-2.6e-05,-2.5e-05
-2.6e-05,-2.2e-05
-2.1e-05,-1.5e-05
-2.5e-05,-2.3e-05
-2.6e-05,-3e-05
-3.7e-05,-3e-05
-2.3e-05,-1.7e-05
-2.2e-05,-2.3e-05
-1.5e-05,-1.6e-05
-2.2e-05,-2.4e-05
-2e-05,-2.5e-05
-2.1e-05,-2.1e-05
-2.3e-05,-2.5e-05
-1.6e-05,-2.3e-05
-2e-05,-2.6e-05
-2.6e-05,-3e-05
-2.5e-05,-2.7e-05
-2.9e-05,-2.7e-05
-2.7e-05,-2.5e-05
-2.3e-05,-3e-05
-2.4e-05,-3e-05
-1.7e-05,-2.4e-05
-1.9e-05,-2.5e-05
-8e-06,-2e-05
-4e-06,-1.9e-05
-8e-06,-2.8e-05
-1.4e-05,-3.3e-05
-8e-06,-2.5e-05
-1.3e-05,-3.2e-05
-2.1e-05,-3.4e-05
-3.8e-05,-4.5e-05
-4.3e-05,-5.4e-05
-8e-06,-2.5e-05
-4e-06,-1.6e-05
-1e-05,-2.1e-05
-1.1e-05,-2.4e-05
-1.3e-05,-2.8e-05
-1.3e-05,-2.5e-05
-8e-06,-1.8e-05
-8e-06,-1.8e-05
-3e-06,-1.3e-05
-3e-06,-8e-06
-2e-06,-8e-06
-6e-06,-1.5e-05
3e-06,-1.2e-05
3e-06,-9e-06
2e-06,-5e-06
4e-06,-7e-06
3e-06,-1.1e-05
5e-06,-1.1e-05
8e-06,-9e-06
6e-06,-1.4e-05
6e-06,-8e-06
4e-06,-1.1e-05
6e-06,-7e-06
8e-06,-3e-06
5e-06,-1.1e-05
1e-06,-1.3e-05
0.0,-1e-05
-0.0,-1.9e-05
-4e-06,-2.5e-05
-2e-06,-1.8e-05
4e-06,-8e-06
0.0,-1e-05
-1e-06,-1e-05
-2e-06,-8e-06
-1e-06,-4e-06
3e-06,-1e-05
0.0,-9e-06
-2e-06,-9e-06
-1e-06,-4e-06
-4e-06,-9e-06
-2e-06,-6e-06
-8e-06,-1.4e-05
-1e-05,-1.2e-05
-1.6e-05,-1.8e-05
-1.7e-05,-1.5e-05
-1.9e-05,-1.4e-05
-1.6e-05,-1.6e-05
-1.6e-05,-1.8e-05
-1.5e-05,-1.6e-05
-1.7e-05,-2.2e-05
-1.3e-05,-1.9e-05
-1.5e-05,-2e-05
-1e-05,-1.6e-05
-6e-06,-1.3e-05
-8e-06,-1.9e-05
-4e-06,-1.2e-05
-8e-06,-1.4e-05
-1.4e-05,-2.5e-05
